Country/Region, Number of official languages (*),Official language(s),Regional language(s),Minority language(s),National language(s),Widely spoken
Georgia,1,Georgian,,,,Russian
Germany,1,German,"Danish (in Schleswig-Holstein)
Lower Sorbian (in Brandenburg)
North Frisian (in Schleswig-Holstein)
Saterland Frisian (in Lower Saxony)
Upper Sorbian (in Saxony)
German Sign Language
Low German","Danish
Lower Sorbian
North Frisian
Romani
Upper Sorbian",,English
Ghana,1,English,"Fante
Asante Twi
Akuapem Twi
Adangme (in Greater Accra)
Dagaare (in the Upper West Region)
Dagbani (in the Northern Region)
Ewe (in the Volta Region)
Ga (in Greater Accra)
Gonja (in the Northern Region)
Kasem (in the Upper East Region)
Nzema (in the Western Region)",,,
Greece,1,Greek,,,,
Grenada,1,English,,,,
Guatemala,1,Spanish,,,"Garifuna
Maya
Xinca",
Guinea,1,French,,,,"Fula
Maninka
Susu"
Guinea-Bissau,1,Portuguese,,,,
Guyana,1,English,,,,Guyanese Creole
Haiti,2,"French
Haitian Creole",,,,
Honduras,1,Spanish,,,,
Hong Kong,2,"Cantonese
English",,,,
Hungary,1,Hungarian,,"Croatian
German
Romanian
Serbian
Slovak
Slovene",,
Iceland,2,"Icelandic
Icelandic Sign Language",,,,
India,2,"Hindi
English","22 official languages:

Assamese
Bengali
Bodo
Dogri
Gujarati
Hindi
Kannada
Kashmiri
Konkani
Maithili
Malayalam
Meitei (Manipuri)
Marathi
Nepali
Odia (Oriya),
Punjabi
Sanskrit
Santali
Sindhi
Tamil
Telugu
Urdu",,No national language,
Indonesia,1,Indonesian,Javanese (in Yogyakarta),,Indonesian,"Indonesian
Malay
Javanese
Sundanese
Batak
Minangkabau
700 more languages in Indonesia"
Iran,1,Persian,,"Azerbaijani
Kurdish
Luri
Gilaki
Mazanderani
Balochi
Arabic
Qashqai
Tati
Turkmeni",Persian,
Iraq,2,"Arabic
Kurdish","Armenian recognized
Assyrian Neo-Aramaic (in Assyrian areas)
Iraqi Turkmen (in Turkmen areas)",,,
Ireland,2,"Irish
English",,,Irish,
Israel,1,Hebrew,Arabic,English,,"Russian
English"
Italy,1,Italian,"French (in Aosta Valley)
Franco-Provençal (in Aosta Valley)
German (in South Tyrol)
Ladin (in South Tyrol)
Friulian (in Friuli-Venezia Giulia)
Sardinian (in Sardinia)
Corsican (in northern Sardinia)","Catalan (in Sardinia)
Slovene (in Friuli-Venezia Giulia)
Occitan (in Piedmont's Occitan valleys)
Albanian (in Sicily and Calabria)
Greek (in Calabria and Puglia)",,Other Italo-Dalmatian languages
Ivory Coast,1,French,,,,
Jamaica,1,English,Jamaican Patois,,Jamaican Patois,Jamaican Patois
Japan,1,None (Japanese has de facto status),,,Japanese,
Jordan,1,Arabic,,"Circassian
Chechen
Armenian",,
Kazakhstan,2,"Kazakh
Russian",,,Kazakh,
Kenya,2,"English
Swahili",,,Swahili,
Kiribati,2,"English
Gilbertese",,,,
North Korea,1,Korean,,,,
South Korea,2,"Korean
Korean Sign Language",,,,
Kosovo,2,"Albanian
Serbian",Turkish,,"Albanian (nationwide)
Serbian (Northern Kosovo)",
Kuwait,1,Arabic,,,"Kuwaiti Sign Language
Kuwaiti Arabic
Kuwaiti Persian",
Kyrgyzstan,2,"Kyrgyz
Russian",,,Kyrgyz,
Laos,1,Lao,,,,French
Latvia,1,Latvian,,,,Russian
Lebanon,1,Arabic,Arabic,Armenian,"Arabic
English
French","Arabic
English
French"
Lesotho,2,"Sesotho
English",,,Sotho,
Liberia,1,English,,,,
Libya,1,Arabic,,,,
Liechtenstein,1,German,,,,
Lithuania,1,Lithuanian,,,,"Polish
Russian"
Luxembourg,3,"French
German
Luxembourgish",,,Luxembourgish,"English
Portuguese"
Macau,2,"Cantonese
Portuguese",,,,
Madagascar,2,"French
Malagasy",,,Malagasy,
Malawi,2,English,,,Chichewa,
Malaysia,1,Malay,Regional/State dialects,,Malay,"Malay
Mandarin Chinese
Cantonese
Tamil
English"
Maldives,1,Dhivehi,,,Dhivehi,English
Mali,13,"Bambara
Bobo
Bozo
Dogon
Fula
Hassaniya
Kassonke
Maninke
Minyanka
Senufo
Songhay languages
Soninke
Tamasheq",,French,,
Malta,2,"Maltese
English",,,Maltese,
Sovereign Military Order of Malta,1,Italian,,,,
Marshall Islands,2,"English
Marshallese",,,,
Mauritania,1,Arabic,,,"Arabic
Fula
Soninke
Wolof",French
Mauritius,2,None (English has de jure status and French has de facto status),,English,,
Mexico,1,None (Spanish has de facto status),,,68 National languages,
Federated States of Micronesia,1,English,"Chuukese (in Chuuk State)
Kosraean (in Kosrae State)
Pohnpeian (in Pohnpei State)
Yapese (in Yap State)",,,
Moldova,1,Romanian,"Gagauz
Russian
Ukrainian",,,
Monaco,1,French,,,,Monégasque
Mongolia,1,Mongolian,,,,
Montenegro,1,Montenegrin,,,,
Morocco,2,"Arabic
Berber",,,"Arabic
Berber",French
Mozambique,1,Portuguese,,,,
Myanmar (Burma),1,Burmese,"Chin
Kachin
Karen
Karenni
Mon
Rakhine
Shan",,,English
Namibia,1,English,"German
Oshiwambo",,Afrikaans,
Nauru,2,"English
Nauruan",,,,
Nepal,1,Nepali,,,All languages spoken as the mother tongue in Nepal,
Netherlands,1,Dutch,"Frisian (in the province of Friesland)
English (in Sint Maarten, Sint Eustatius, Saba)
Papiamento (in Aruba, Curaçao, Bonaire)","Dutch Low Saxon
Dutch Sign Language
Limburgish
Sinte Romani
Yiddish",,English
New Zealand,3,"Māori language
New Zealand Sign Language
(English has de facto status)",Tokelauan language (in Tokelau),,,
Nicaragua,1,Spanish,"In Autonomous Regions:
Creole
Garifuna
Mayangna
Miskito
Rama
Sumo",,,
Niger,1,Hausa,,,"Arabic
French
Fulfulde
Gulmancema
Kanuri
Zarma
Tamazight",
Nigeria,1,English,,,"Hausa
Yoruba
Igbo","English
Hausa"
Niue,2,"English
Niuean",,,,
North Macedonia,2,"Macedonian
Albanian",,,,
Northern Cyprus,1,Turkish,,,,
Norway,2,"Norwegian
Sami languages","Northern Sami
Lule Sami
Southern Sámi
Kven","Kven
Scandoromani","Bokmål (written)
Nynorsk (written)",English
Oman,1,Arabic,,Shehri,,
Pakistan,2,"Urdu
English","Punjabi
Sindhi
Pashto
Balochi",,Urdu,"Punjabi
Balochi
Sindhi
Pashto"
Palau,2,"English
Palauan","Sonsorolese (in Sonsorol)
Tobian (in Hatohobei)
Japanese (in Angaur)",,,
Palestine,1,Arabic,,,,"English
Hebrew"
Panama,1,Spanish,,,,
Papua New Guinea,4,"English
Hiri Motu
PNG Sign Language
Tok Pisin",,,,
Paraguay,2,"Spanish
Guaraní",,,,
Peru,1,Spanish,"Quechua, Aymara and other native languages are official wherever they predominate.",,,
Philippines,2,"Filipino
English","Aklanon (in the Visayas)
Bikol (in Luzon)
Cebuano (in the Visayas and Mindanao)
Chavacano (in Mindanao)
Hiligaynon (in the Visayas)
Ibanag (in Luzon)
Ilocano (in Luzon, official in La Union)
Ivatan (in Luzon)
Kapampangan (in Luzon)
Kinaray-a (in the Visayas)
Maguindanao (in Mindanao)
Maranao (in Mindanao)
Pangasinan (in Luzon)
Sambal (in Luzon)
Tagalog (in Luzon)
Tausug (in Mindanao)
Waray (in the Visayas)
Yakan (in Mindanao)","Arabic (optional language)
Spanish (optional language)
Over 100 more minority languages","Filipino
Filipino Sign Language (national sign language)",
Poland,1,Polish,"Kashubian (Pomeranian Voivodeship)
German (Opole Voivodeship)
Lithuanian (Puńsk commune)
Belarusian (Podlaskie Voivodseship)","Lemko
Karaim
Tatar
Ukrainian",,English
Portugal,1,Portuguese,Mirandese (Terra de Miranda),,,English
Qatar,1,Arabic,,,,
Romania,1,Romanian,,"Armenian
German
Hungarian
Romani
Russian
Serbian
Slovak
Tatar
Turkish
Ukrainian",,
Russia,1,Russian,"Ossetic
Ukrainian
Belarusian
Buryat
Kalmyk
Chechen
Ingush
Abaza
Adyghe
Tsakhur
Lezgian
Cherkess
Kabardian
Altai
Bashkir
Chuvash
Crimean Tatar
Karachay-Balkar
Khakas
Nogai
Tatar
Tuvan
Yakut
Erzya
Komi
Hill Mari
Meadow Mari
Karelian
Moksha
Veps
Ingrian
Ludian
Udmurt",,,
Rwanda,4,"English
French
Kinyarwanda
Swahili",,,Kinyarwanda,
Sahrawi Arab Democratic Republic,2,"Arabic
Spanish",,,Arabic,
Saint Kitts and Nevis,1,English,,,,
Saint Lucia,1,English,,,,
Saint Vincent and the Grenadines,1,English,,,,
Samoa,2,"English
Samoan",,,,
San Marino,1,Italian,,,,
São Tomé and Príncipe,1,Portuguese,,,,
Saudi Arabia,1,Arabic,,"Faifi
Razihi
Mehri",,"Indian Languages
Filipino
Bengali"
Senegal,1,French,,,"Jola-Fogny
Mandinka
Pulaar
Serer
Soninke
Wolof",
Serbia,1,Serbian,,(15 languages),,
Seychelles,3,"English
French
Seychellois Creole",,,,
Sierra Leone,1,English,,,Krio,
Singapore,4,"English
Malay
Mandarin Chinese
Tamil",,,Malay,
