Rank,"Change since 2015",Country or territory,Human development index (*), "% annual growth (2010–2023)"
162,(3),Syria,0.564,1.42%
163,(5),Mauritania,0.563,0.51%
164,(2),Nigeria,0.560,0.97%
165,(1),Tanzania,0.555,0.64%
166,(9),Haiti,0.554,1.74%
167,(1),Lesotho,0.550,0.86%
168,(5),Pakistan,0.544,0.71%
169,(1),Senegal,0.530,0.80%
170,(5),Gambia,0.524,0.82%
171,(8),Democratic Republic of the Congo,0.522,1.06%
172,(1),Malawi,0.517,0.81%
173,(4),Benin,0.515,0.39%
174,(2),Guinea-Bissau,0.514,0.76%
175,(6),Djibouti,0.513,1.67%
176,(3),Sudan,0.511,0.45%
177,,Liberia,0.510,0.48%
178,(1),Eritrea,0.503,0.62%
179,(3),Guinea,0.500,1.06%
180,(4),Ethiopia,0.497,1.55%
181,(7),Afghanistan,0.496,0.24%
182,(1),Mozambique,0.493,1.04%
183,(11),Madagascar,0.487,0.02%
184,(4),Yemen,0.470,1.30%
185,,Sierra Leone,0.467,0.80%
186,(1),Burkina Faso,0.459,1.37%
187,(2),Burundi,0.439,0.32%
188,,Mali,0.419,0.08%
188,(3),Niger,0.419,1.34%
190,(1),Chad,0.416,0.66%
191,(1),Central African Republic,0.414,0.58%
192,N/A,Somalia,0.404,N/A
193,,South Sudan,0.388,0.61%
