Country,Annual rainfall (mm/year) (*),"in/year",Continent
138,Australia,534,21.0,Oceania
139,Kyrgyzstan,533,21.0,Asia
140,Cyprus,498,19.6,Asia
141,South Africa,495,19.5,Africa
142,Pakistan,494,19.4,Asia
143,Russia,460,18,Europe-Asia
144,Moldova,450,18,Europe
145,Azerbaijan,447,17.6,Asia
146,Israel,435,17.1,Asia
147,Botswana,416,16.4,Africa
148,Palestine,402,15.8,Asia
149,Eritrea,384,15.1,Africa
150,Morocco,346,13.6,Africa
151,Afghanistan,327,12.9,Asia
152,Chad,322,12.7,Africa
153,Namibia,285,11.2,Africa
154,Mali,282,11.1,Africa
154,Somalia,282,11.1,Africa
155,Syria,252,9.9,Asia
156,Kazakhstan,250,9.8,Asia
156,Sudan,250,9.8,Africa
156,Libya,250,9.8,Africa
157,Mongolia,241,9.5,Asia
158,Cape Verde,228,9.0,Africa
159,Iran,228,9.0,Asia
160,Djibouti,220,8.7,Africa
161,Iraq,216,8.5,Asia
162,Tunisia,207,8.1,Africa
163,Uzbekistan,206,8.1,Asia
164,Yemen,167,6.6,Asia
165,Turkmenistan,161,6.3,Asia
166,Niger,151,5.9,Africa
167,Oman,125,4.9,Asia
168,Kuwait,121,4.8,Asia
169,Jordan,111,4.4,Asia
170,Mauritania,92,3.6,Africa
171,Algeria,89,3.5,Africa
172,Bahrain,83,3.3,Asia
173,United Arab Emirates,78,3.1,Asia
174,Qatar,74,2.9,Asia
175,Saudi Arabia,59,2.3,Asia
176,Egypt,18,0.71,Africa
